Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Gráfica Sublime Color ,11.111.111/1111-120,Rio de Janeiro - RJ,Daniel,(11)99999-0432,[03/11/2020] - [102] - Laser 1390
Julio Cesar - Olimpus Atacad,11.111.111/1111-121,Vitória da ConquistaBA,,(11)99999-0433,[20/11/2020] - [ ] - Equip 2013 usado
Bruno da Silva Melo - Perfecta Planejados,11.111.111/1111-122,Araruna  - PR,Hanna,(11)99999-0434,[02/12/2020] - [97/98] - Evo 3SPE52BG completa
Industria CLM Esquadrias,11.111.111/1111-123,Campina Grande - PB,Caio,(11)99999-0435,[23/11/2020] - [110] - Elite X 2819
DacasaPlanejados,11.111.111/1111-124,Guamiranga  - PR,Gilberto,(11)99999-0436,[24/11/2020] - [109] - Evo 2819 comp
Acoplar Comercio ,11.111.111/1111-125,Joinville - SC,Eduardo,(11)99999-0437,[25/11/2020] - [111] - Evo Heavy c/ desc
L Machado Comercio,11.111.111/1111-128,Americana - SP,Laura,(11)99999-0440,[01/12/2020] - [113] - Elite X 5019
Debiasi Utilidades,11.111.111/1111-129,Piedade - SP,Antuany,(11)99999-0441,[25/11/2020] - [114] - Spark 2113
Plástico Store Ltda,11.111.111/1111-130,Jaraguá do Sul - SC,Jean/ CANCELADO,(11)99999-0442,[09/12/2020] - [118] - Elite X 3020
Ariete Wenk Hoengen ,11.111.111/1111-131,Joinville - SC,,(11)99999-0443,[03/12/2020] - [115] - Spark 1310 especial comando
Evandro Carlos Schropfer / Cortemax,11.111.111/1111-132,Lucas do Rio Verde -MT,Evandro,(11)99999-0444,[03/12/2020] - [116] - Laser 1390 130W
Edvaldo Martins ,11.111.111/1111-133,Lauro de Freitas BA,Edvaldo,(11)99999-0445,[09/12/2020] - [119] - Ax pro 3020
Brasilplac Ind e Com ,11.111.111/1111-134,Fortaleza - CE,Anilton,(11)99999-0446,[08/12/2020] - [117] - fio quente imp
Estudio 153 Letreiros Ltda,11.111.111/1111-135,Toledo PR,,(11)99999-0447,[15/12/2020] - [120] - Ax Pro 2515
Ana Lucia Drehmer,11.111.111/1111-136,Itapema - SC,Ana,(11)99999-0448,[15/12/2020] - [121] - Master Duo L
Alm Baldini Serviços Ltda,11.111.111/1111-137,Joinville - SC,Angelo,(11)99999-0449,[21/12/2020] - [126] - Faca oscilante
Amazon gráfica e com,11.111.111/1111-138,Sorriso - MT,Pablo,(11)99999-0450,[22/12/2020] - [125] - 2º spindle 4.7CV
Julyju Gráfica,11.111.111/1111-139,Florianópolis -SC,Jucélia,(11)99999-0451,[23/12/2020] - [128] - Spark 2013
T  R Araujo Alves,11.111.111/1111-140,Natal - RN,Thyago / Nei,(11)99999-0452,[29/12/2020] - [129] - Elite X  2819 2S
T  R Araujo Alves,11.111.111/1111-141,,,(11)99999-0453,[ ] - [ ] - Elite X  2819 2S
Ariete Wenk Hoengen ,11.111.111/1111-142,,,(11)99999-0454,[ ] - [ ] - Spark 1310 especial
Brasilplac Ind e Com ,11.111.111/1111-143,,Anilton,(11)99999-0455,[ ] - [ ] - fio quente imp
R Acostic,11.111.111/1111-146,Itapui - SP,Rafael,(11)99999-0458,[08/01/2021] - [130] - Master 3025 3S
R Acostic,11.111.111/1111-147,Itapui - SP,Rafael,(11)99999-0459,[08/01/2021] - [130] - Master 3025 3S
Fernando de Sordi (Enke),11.111.111/1111-148,Balneario Camboriu- SC,Fernando,(11)99999-0460,[06/11/2020] - [127] - Peças suporte
Playwood,11.111.111/1111-149,São Jose dos Pinhais - PR,,(11)99999-0461,[07/01/2021] - [ ] - aditivo de contrato
Celio Alves Nogueira,11.111.111/1111-150,Nova Friburgo - RJ,,(11)99999-0462,[11/01/2021] - [131] - Fio quente FCM3
Celio Alves Nogueira,11.111.111/1111-151,Nova Friburgo - RJ,Celio,(11)99999-0463,[11/01/2021] - [ ] - Fio quente FCM3
Vitor Carlos Della Flora,11.111.111/1111-152,Tupanricetã - RS,,(11)99999-0464,[18/01/2021] - [133] - Elite Super Drill
Guidoni Ornamental,11.111.111/1111-153,São Domingos do Norte - ES,Felipe/ Walace,(11)99999-0465,[27/01/2021] - [134] - Master esp 3725
Teak Design,11.111.111/1111-154,Itapema - SC,Gabrielle,(11)99999-0466,[25/01/2021] - [135] - Laser 1490
Teak Design,11.111.111/1111-155,Itapema - SC,Gabrielle,(11)99999-0467,[25/01/2021] - [ ] - Laser 1490
Bruno Faria / Silvania Pimentel,11.111.111/1111-156,Nova Serrana - MG,Bruno Faria,(11)99999-0468,[26/01/2021] - [137/160] - Spark 8060
Bruno Faria/ Silvania Pimentel,11.111.111/1111-157,Nova Serrana - MG,Bruno Faria,(11)99999-0469,[26/01/2021] - [ ] - Spark 8060
Aranha Design Com Visual,11.111.111/1111-158,Macapá - AP,Douglas,(11)99999-0470,[26/01/2021] - [136] - Fio quente FCM3
Aranha Design Com Visual,11.111.111/1111-159,Macapá - AP,Douglas,(11)99999-0471,[26/01/2021] - [ ] - Fio quente FCM3
Filtex ,11.111.111/1111-160,Blumenau - SC,Jacques,(11)99999-0472,[28/01/2021] - [139] - Elite 2013 especial
Filtex ,11.111.111/1111-161,Blumenau - SC,Jacques,(11)99999-0473,[28/01/2021] - [171] - Elite 2013 especial
Filtex ,11.111.111/1111-162,Blumenau - SC,Jacques,(11)99999-0474,[28/01/2021] - [ ] - Elite 2013 especial
Julyju gráfica,11.111.111/1111-166,Florianópolis  - SC,Jucelia,(11)99999-0478,[09/02/2021] - [128] - Coletor de pó
Star Mobile,11.111.111/1111-167,Garibaldi - RS,Ademir/Sergio,(11)99999-0479,[25/02/2021] - [148] - Laser corte tecido
B F De Souza (Usiminas),11.111.111/1111-168,Nova Serrana  - MG,Bruno,(11)99999-0480,[10/02/2021] - [143] - Spark 8060 (3und)
B F De Souza (Usiminas),11.111.111/1111-169,Nova Serrana  - MG,Bruno,(11)99999-0481,[10/02/2021] - [ ] - Spark 8060 (3und)
Wesley Renatto (First Line),11.111.111/1111-170,Colombo - PR,Dionata,(11)99999-0482,[08/02/2021] - [142] - Evo Duo L
Wesley Renatto (First Line),11.111.111/1111-171,,,(11)99999-0483,[ ] - [ ] - 
Fabribam Gabinetes,11.111.111/1111-172,Ituporanga - SC,Ricardo,(11)99999-0484,[19/02/2021] - [147/189] - Ultimate CH
Aranha Design,11.111.111/1111-173,Macapá - AP,Douglas,(11)99999-0485,[10/02/2021] - [144] - M32
W&M  Design/ L&F Comercio/ Artesian,11.111.111/1111-174,Campo Largo - PR,,(11)99999-0486,[ ] - [157] - Elite S especial 4º eixos
Bruno Faria,11.111.111/1111-178,Nova Serrana  - MG,Bruno,(11)99999-0490,[01/03/2021] - [150] - Spark 8060
Bruno Faria,11.111.111/1111-179,Nova Serrana  - MG,Bruno,(11)99999-0491,[01/03/2021] - [150] - Spark 8060
Pauli Ind e Com de Móveis,11.111.111/1111-180,Biguaçu - SC,Bruno Pauli,(11)99999-0492,[15/03/2021] - [152] - Master Duo c/ desc
Pauli Ind e Com de Móveis,11.111.111/1111-181,Biguaçu - SC,,(11)99999-0493,[16/03/2021] - [ ] - Master Duo c/ desc
Brava Movelaria,11.111.111/1111-182,Itajai - SC,Diego,(11)99999-0494,[12/03/2021] - [151] - Opcional
Performance,11.111.111/1111-183,Brusque - SC,Kleiton,(11)99999-0495,[19/03/2021] - [154] - Evo ATC L
Aparecida Xavier Marques Design Móveis plan,11.111.111/1111-184,Nova Mamore - RO,Antonio,(11)99999-0496,[24/03/2021] - [156] - EVO 2030 ATC L
Aparecida Xavier Marques Design Móveis plan,11.111.111/1111-185,Nova Mamore - RO,,(11)99999-0497,[23/03/2021] - [ ] - 
Siw,11.111.111/1111-186,Salto do Pirapora - SP,Erik,(11)99999-0498,[24/03/2021] - [155] - ELITE 3020 2S
Kauê - Fleith Marcenaria,11.111.111/1111-187,Araquari - SC,Kaue,(11)99999-0499,[31/03/2021] - [158] - Evo Heavy Duty
Kauê - Fleith Marcenaria,11.111.111/1111-188,Araquari - SC,Kaue,(11)99999-0500,[31/03/2021] - [ ] - Evo Heavy Duty
Dieison Zanela Caraffini,11.111.111/1111-189,Gramado dos Loureiros - RS,Dieison,(11)99999-0501,[31/03/2021] - [159] - Evo 2819 1S
AZP ,11.111.111/1111-193,Brusque - SC,Anderson,(11)99999-0505,[15/04/2021] - [163] - Evo DUO
AZP ,11.111.111/1111-194,Brusque - SC,Anderson,(11)99999-0506,[15/04/2021] - [ ] - Evo DUO
Atualidade Ambientes,11.111.111/1111-195,Aparecida de Goias - GO,Elias,(11)99999-0507,[30/04/2021] - [166/181] - Ultimate
Nunes Impressão / Kiplaca ,11.111.111/1111-196,Guaramirim - SC,Adriano,(11)99999-0508,[26/04/2021] - [118] - Elite X 3020
Nunes Impressão / Kiplaca ,11.111.111/1111-197,Guaramirim - SC,Adriano,(11)99999-0509,[26/04/2021] - [ ] - Elite X 3020
Mare Board,11.111.111/1111-198,Florianópolis - SC,Valdemar,(11)99999-0510,[30/04/2021] - [168] - Especial
CLM,11.111.111/1111-201,Campina Grande - PB,Caio,(11)99999-0513,[05/05/2021] - [165] - Elite S Especial
Ematrifak,11.111.111/1111-202,Santa Rita - PB,Elton,(11)99999-0514,[06/05/2021] - [169] - Spark 8060
Ematrifak,11.111.111/1111-203,Santa Rita - PB,,(11)99999-0515,[06/05/2021] - [ ] - Spark 8060
Maqsoft / Engeltec Equip,11.111.111/1111-204,Toledo - PR,Edival,(11)99999-0516,[06/05/2021] - [170] - Spark Esp 8060
Etiquetadora perdigão,11.111.111/1111-205,Perdigão - MG,Marcio,(11)99999-0517,[14/05/2021] - [177] - (1) Spark 8060
Etiquetadora perdigão,11.111.111/1111-206, - MG,Marcio,(11)99999-0518,[15/05/2021] - [ ] - 
Usinagem Perdigão,11.111.111/1111-207,Perdigão - MG,,(11)99999-0519,[14/05/2021] - [178] - (1) Spark 8061
Usinagem Perdigão,11.111.111/1111-208,Perdigão - MG,,(11)99999-0520,[15/05/2021] - [ ] - 
Ederson Moselli,11.111.111/1111-209,Limeira - SP,Ederson,(11)99999-0521,[11/05/2021] - [183] - Evo 1 S 
V A Comunicação,11.111.111/1111-210,Porto Velho - RO,,(11)99999-0522,[14/05/2021] - [179] - Laser 1490 
SIW ,11.111.111/1111-211,Salto de Pirapora - SP,,(11)99999-0523,[11/05/2021] - [172] - Elite X 5019
Protótipus paineis,11.111.111/1111-212,Cia Norte - PR,Ana Maria,(11)99999-0524,[25/05/2021] - [182] - Ax Pro  c/ faca
Tallato Ind e Com,11.111.111/1111-213,Toledo - PR,Helder,(11)99999-0525,[31/05/2021] - [180] - Elite S 2819
Tallato Ind e Com,11.111.111/1111-214,Toledo - PR,,(11)99999-0526,[31/05/2021] - [ ] - Elite S 2819
Fabribam ,11.111.111/1111-215,Ituporanga - SC,Ricardo,(11)99999-0527,[28/05/2021] - [184] - Laser 1490 
GL Moveis,11.111.111/1111-218,São Luis do Maranhão - MA,Sr Gilson,(11)99999-0530,[07/07/2021] - [185] - Elite Super Drill
ALM Moveis,11.111.111/1111-219,Mandirituba - PR,Fabio,(11)99999-0531,[09/06/2021] - [187] - Laser 1490 c/ abertura e 4º eixo
Veramóveis,11.111.111/1111-220,Veranópolis  - RS,Rafael,(11)99999-0532,[14/06/2021] - [188] - Elite S 2819
Primos Móveis,11.111.111/1111-221,Botuverá - SC,Fernando,(11)99999-0533,[23/06/2021] - [190] - Elite ATC L
Primos Móveis,11.111.111/1111-222,Botuverá - SC,Fernando,(11)99999-0534,[23/06/2021] - [ ] - Elite ATC L
TMK Soluções,11.111.111/1111-223,Aparecida de Goiania - GO,Karluz,(11)99999-0535,[30/06/2021] - [191] - Master esp
Aquarilopa Arte ,11.111.111/1111-226,Joinville - SC,,(11)99999-0538,[05/07/2021] - [192] - Ax pro 2515 esp
Aquarilopa Arte ,11.111.111/1111-227,Joinville - SC,,(11)99999-0539,[05/07/2021] - [ ] - Ax pro 2515 esp
Genivaldo Francisco dos Santos,11.111.111/1111-228,Nova Serrana - MG,Dica,(11)99999-0540,[28/07/2021] - [196] - Elite X Esp 1279
Genivaldo Francisco dos Santos,11.111.111/1111-229,Nova Serrana - MG,Dica,(11)99999-0541,[29/07/2021] - [ ] - Elite X Esp 1280
Fabiola Fernanda /Laca Potas Mix,11.111.111/1111-230,Camboriu - SC,Ismael,(11)99999-0542,[12/07/2021] - [195] - Elite X esp
Metaliza (Difer),11.111.111/1111-231,São Bento do Sul - SC,,(11)99999-0543,[ ] - [ ] - Fiber Laser
Usinagem Perdigão,11.111.111/1111-234,Perdigão - MG,Marcio,(11)99999-0546,[06/08/2021 ::] - [ ] - Inclusão Easy
BC Quintas Publicidade,11.111.111/1111-235,Manaus - AM,Elton,(11)99999-0547,[10/08/2021 ::] - [199] - Ax pro 2819 comp
BC Quintas Publicidade,11.111.111/1111-236,Manaus - AM,Elton,(11)99999-0548,[10/08/2021 ::] - [ ] - Ax pro 2819 comp
Modelart Soluções,11.111.111/1111-237,Criciuma - SC,,(11)99999-0549,[06/08/2021 ::] - [198] - Spark Al Esp 1212
Stoc Art,11.111.111/1111-238,Curitiba - PR,,(11)99999-0550,[26/08/2021 ::] - [201] - Retrofit 
Debiasi,11.111.111/1111-239,São Bento do Sul - SC,,(11)99999-0551,[25/08/2021 ::] - [200] - Retrofit Spark
GJB Comercio,11.111.111/1111-240,Bombinhas - SC,Gean,(11)99999-0552,[26/08/2021 ::] - [203] - Master ATC L
GJB Comercio,11.111.111/1111-241,Bombinhas - SC,Gean,(11)99999-0553,[26/08/2021 ::] - [ ] - Master ATC L
GJB Comercio,11.111.111/1111-242,Bombinhas - SC,Gean,(11)99999-0554,[26/08/2021 ::] - [ ] - Master ATC L
Braslamd,11.111.111/1111-243,Campo do Tenente - PR,Mario,(11)99999-0555,[26/08/2021 ::] - [204] - Spark 8060 Esp
Madrey Móveis,11.111.111/1111-244,Espumosos - RS,Juliano,(11)99999-0556,[27/08/2021 ::] - [206] - Mach Pro 2819 ATC
L&C Pub / Lucivaldo Alves,11.111.111/1111-245,Novo Oriente  - CE,Thiago,(11)99999-0557,[26/08/2021 ::] - [207] - Mach Pro 5019
Minig,11.111.111/1111-248,Porto Belo - SC,Dedé,(11)99999-0560,[03/09/2021 ::] - [208] - Elite X 5020
Minig,11.111.111/1111-249,Porto Belo - SC,Dedé,(11)99999-0561,[03/09/2021 ::] - [ ] - Elite X 5020
L&C Pub / Lucivaldo Alves,11.111.111/1111-250,Novo Oriente  - CE,Thiago,(11)99999-0562,[15/09/2021 ::] - [207] - Bomba 
Comercio de Madeiras / Gralha Azul Portas,11.111.111/1111-251,Curitiba - PR,,(11)99999-0563,[21/09/2021 ::] - [213] - Mach Pro 5019 ESP
Esquadriarte Móveis,11.111.111/1111-252,Patos - PB,Sebastian,(11)99999-0564,[29/09/2021 ::] - [214] - EVO DUO
Perfect Sign,11.111.111/1111-253,Rio Bonito - RJ,Edilandio,(11)99999-0565,[29/09/2021 ::] - [215] - Mach Pro 5019
K.M Possamai / Felipe,11.111.111/1111-254,Cascavel - PR,Felipe,(11)99999-0566,[30/09/2021 ::] - [216] - Mach Pro 5019
Arte Laser,11.111.111/1111-258,Itajai - SC,Pedro,(11)99999-0570,[06/10/2021 ::] - [219] - Mach Pro ATCL 2819
Arte Laser,11.111.111/1111-259,Itajai - SC,Pedro,(11)99999-0571,[06/10/2021 ::] - [219] - Mach Pro ATCL 2820
GS Dutra,11.111.111/1111-260,Itapetinga - BA,Gabriel,(11)99999-0572,[ ] - [218] - Mach Pro 5019 2S
Usa planejados,11.111.111/1111-261,Palma - MG,Elias,(11)99999-0573,[14/10/2021 ::] - [230] - Mach Pro ATCL 2819
Usa planejados,11.111.111/1111-262,Palma - MG,Elias,(11)99999-0574,[14/10/2021 ::] - [220] - Mach Pro ATCL 2820
FB Cromo Metalização,11.111.111/1111-263,Para de Minas  - MG,Tarcisio,(11)99999-0575,[21/10/2021 ::] - [223] - Spark 8060 ATC
FB Cromo Metalização,11.111.111/1111-264,Para de Minas  - MG,Tarcisio,(11)99999-0576,[21/10/2021 ::] - [223] - Spark 8060 ATC
JF Móveis Planejados,11.111.111/1111-265,São Jose  - SC,,(11)99999-0577,[25/10/2021 ::] - [225] - Elite ATCL
JF Móveis Planejados,11.111.111/1111-266,São Jose  - SC,,(11)99999-0578,[25/10/2021 ::] - [225] - 
Com Diesel Peças,11.111.111/1111-267,Taubaté - SP,Emanuel,(11)99999-0579,[25/10/2021 ::] - [224] - Mach Pro 1S 2819
Acryflon ,11.111.111/1111-268,Barra Velha - SC,,(11)99999-0580,[20/10/2021 ::] - [221] - Vetor CNC
Mania Sign,11.111.111/1111-269,São Paulo - SP,Raimundo,(11)99999-0581,[26/10/2021] - [226] - M32 
Projeto 8,11.111.111/1111-270,Curitiba - PR,Alysson,(11)99999-0582,[27/10/2021] - [228] - Mach Pro 5019
Casa Belle Móveis,11.111.111/1111-271,Corupá - SC,Anderson,(11)99999-0583,[29/10/2021 ::] - [227] - Elite ATCL
RD Fibras,11.111.111/1111-275,Rio Claro - SP,Guilherme,(11)99999-0587,[04/11/2021 ::] - [230] - Evo Esp 
Ecopias,11.111.111/1111-276,Campinas - SP,Guilherme,(11)99999-0588,[22/11/2021 ::] - [231] - Opcionais
Fabribam,11.111.111/1111-277,Ituporanga - SC,Fabricio/Erasmo,(11)99999-0589,[26/11/2021 ::] - [232/233] - Elite ATCL 2819 EPS
Leandro/ Erasmo,11.111.111/1111-278,Parai - RS,Leandro,(11)99999-0590,[30/11/2021 ::] - [237] - Mach Pro ATCL
Aveus Movelaria,11.111.111/1111-279,São Paulo - SP,Mauricio,(11)99999-0591,[23/11/2021 ::] - [235] - Mach pro ATCL
Aveus Movelaria,11.111.111/1111-280,São Paulo - SP,Mauricio,(11)99999-0592,[23/11/2021 ::] - [235] - Mach Pro ATCL
AGM Arquitetura,11.111.111/1111-281,São Paulo - SP,Hedy,(11)99999-0593,[24/11/2021 ::] - [236] - M32
Direct Press,11.111.111/1111-282,Campo Grande - MT,Walter,(11)99999-0594,[25/11/2021 ::] - [238] - Mach Pro 5016
Direct Press,11.111.111/1111-283,Campo Grande - MT,Walter,(11)99999-0595,[25/11/2021 ::] - [238] - Mach Pro 5016
Rafael Herger Pinto / Singular Amb,11.111.111/1111-284,São José - SC,Rafael,(11)99999-0596,[26/11/2021 ::] - [239] - Mach Pro 2S
Fortiori Ambientes,11.111.111/1111-285,Aparecida de Goiania - GO,Yvan,(11)99999-0597,[30/11/2021 ::] - [241] - Elite DUO
Fortiori Ambientes,11.111.111/1111-286,Aparecida de Goiania - GO,Yvan,(11)99999-0598,[30/11/2021 ::] - [241] - Elite DUO
Astro Moveis,11.111.111/1111-287,São Paulo Mooca - SP,Renan,(11)99999-0599,[30/11/2021 ::] - [242] - Evo DUO
Acrisign / Acrilight,11.111.111/1111-290,Fazenda Rio Grande - PR,Guilherme,(11)99999-0602,[03/12/2021 ::] - [243] - Evo Esp 5020 2S
Unike Industria,11.111.111/1111-291,Juazeiro - BA,Jailton/Davi,(11)99999-0603,[03/12/2021 ::] - [244] - Evo 5019 2S
Unike Industria,11.111.111/1111-292,Juazeiro - BA,Jailton/Davi,(11)99999-0604,[03/12/2021 ::] - [244] - Evo 5019 2S
JM Comunicação ,11.111.111/1111-295,Recife - PE,Joaquim,(11)99999-0607,[18/01/2022 ::] - [246] - Evo Super Drill
JM Comunicação ,11.111.111/1111-296,Recife - PE,Joaquim,(11)99999-0608,[18/01/2022 ::] - [246] - Evo Super Drill
NM Espumas/ Farias e Klein,11.111.111/1111-297,Paraguai,Jorge,(11)99999-0609,[13/01/2022 ::] - [247] - Mach Pro ATCL
Traços Cultura,11.111.111/1111-298,Rio de Janeiro - RJ,Tarcisio,(11)99999-0610,[25/01/2022 ::] - [253] - Mach Pro ATCL ESP
For Home Móveis,11.111.111/1111-302,Dracena - SP,Evandro,(11)99999-0614,[15/02/2022] - [257] - Elite ATCL
Tiago Liebl Miranda,11.111.111/1111-303,Mafra - SC,Tiago,(11)99999-0615,[18/02/2022] - [259] - Mach Pro ATCL + mesa LE
Moveis Virtual ,11.111.111/1111-304,Itaquera     - SP,Laélcio,(11)99999-0616,[21/02/2022] - [249] - Mach Pro 1S
Fortglass,11.111.111/1111-305,Fortaleza - CE,Igor,(11)99999-0617,[28/02/2022] - [264] - Evo 5019
J Pacheco,11.111.111/1111-306,Alvorada - RS,Jonatas/Patricia,(11)99999-0618,[25/02/2022] - [262] - Mach Pro ATCL 
Quenani Planejados/ Nadismar ,11.111.111/1111-307,Balneario - SC,Cleiton,(11)99999-0619,[24/02/2022] - [265] - "Mach Pro ATCL
Mach Pro ATCL"
Ederson Moselli,11.111.111/1111-308,Limeira - SP,Ederson,(11)99999-0620,[24/02/2022] - [183] - Inc Opcional
Daniela Iachel - Detaly ,11.111.111/1111-311,Pederneiras - SP,Juliano,(11)99999-0623,[16/03/2022] - [272] - Mach Pro ATCL
Daniela Iachel - Detaly ,11.111.111/1111-312,Pederneiras - SP,Juliano,(11)99999-0624,[16/03/2022] - [272] - Mach Pro ATCL
Eventos Gama,11.111.111/1111-313,Ipatinga - MG,Marilene,(11)99999-0625,[17/03/2022] - [271] - Laser 1490 4º eixo
Foster Soluções,11.111.111/1111-314,Pelotas - RS,Gil,(11)99999-0626,[17/03/2022] - [279] - Mach Pro ATCL
Foster Soluções,11.111.111/1111-315,Pelotas - RS,Gil,(11)99999-0627,[17/03/2022] - [279] - Mach Pro ATCL
FB Cromo Metalização,11.111.111/1111-316,Para de Minas  - MG,,(11)99999-0628,[17/03/2022] - [223] - Enclausuramento
Hal Design,11.111.111/1111-317,São Paulo - SP,Humberto,(11)99999-0629,[18/03/2022] - [270] - Mach Pro ATCL
Hal Design,11.111.111/1111-318,São Paulo - SP,Humberto,(11)99999-0630,[18/03/2022] - [270] - Mach Pro ATCL
Rudison Theodoro,11.111.111/1111-319,Cariacica - ES,Rudison,(11)99999-0631,[16/03/2022] - [276] - Mach Pro ATCL
JM Personalizados,11.111.111/1111-320,Cariacica - ES,Jeferson,(11)99999-0632,[16/03/2022] - [275] - Mach Pro ATCL
JM Personalizados,11.111.111/1111-321,Cariacica - ES,Jeferson,(11)99999-0633,[16/03/2022] - [275] - Mach Pro ATCL
Medina Madeiras,11.111.111/1111-322,Piracicaba - SP,Evandro Medina,(11)99999-0634,[25/03/2022] - [278] - Elite ATCL 
Medina Madeiras,11.111.111/1111-323,Piracicaba - SP,Evandro Medina,(11)99999-0635,[25/03/2022] - [278] - Elite ATCL 
Fábrica de bancos,11.111.111/1111-324,Ipatinga - MG,José Geraldo,(11)99999-0636,[24/03/2022] - [274] - Mach Pro ATCL ESP
Estofados Tironi,11.111.111/1111-325,Guaramirim - SC,Fabiane,(11)99999-0637,[28/03/2022] - [277] - Mach Pro ATCL ESP
Thiago Gregio,11.111.111/1111-326,Vilhena - RO,Thiago ,(11)99999-0638,[29/03/2022] - [306 / 307] - Mach Pro ATCL
Thiago Gregio,11.111.111/1111-327,Vilhena - RO,Thiago ,(11)99999-0639,[29/03/2022] - [306 / 307] - Mach Pro ATCL
MLK Portas,11.111.111/1111-328,Ponta Grossa - PR,Iguatemir,(11)99999-0640,[30/03/2022] - [281] - Mach Door 1325
M M Lima Planejados /L3 Móveis,11.111.111/1111-329,Teresina - PI,Maquilande,(11)99999-0641,[31/03/2022] - [280] - Mach Pro ATCL
Foster Soluções,11.111.111/1111-333,Pelotas - RS,Gil,(11)99999-0645,[12/04/2022] - [279] - 4 Cones
R&R Technical,11.111.111/1111-334,Chacará Maria Trindade - SP,Renato,(11)99999-0646,[25/04/2022] - [285] - Dispositivo para vinco
Oficina Ambientes,11.111.111/1111-335,Santo Angelo - RS,Ederson,(11)99999-0647,[28/04/2022] - [287] - Mach Pro ATCL
Urbe Com Visual,11.111.111/1111-338,Sampaio  - RJ,Daniel,(11)99999-0650,[24/05/2022] - [288] - Laser 2513
Urbe Com Visual,11.111.111/1111-339,Sampaio  - RJ,Daniel,(11)99999-0651,[24/05/2022] - [288] - Laser 2513
Madrey Móveis,11.111.111/1111-340,Espumoso - RS,Juliano,(11)99999-0652,[06/05/2022] - [291] - 2º bomba + five action
Dimensão Ambientes,11.111.111/1111-341,Fortaleza - CE,Gleydson/Julio,(11)99999-0653,[06/05/2022] - [290] - Mach Pro ATCL
Botticelli Jogos,11.111.111/1111-342,São José dos Pinhais - PR,Marcelo,(11)99999-0654,[10/05/2022] - [298] - Spark 2013
Madooree / Madevel,11.111.111/1111-343,São Bento do Sul - SC,Emerson,(11)99999-0655,[13/05/2022] - [292] - Mach Pro 5019
Acearia Frederico Missner,11.111.111/1111-344,Luiz Alves - SC,Vitus,(11)99999-0656,[17/05/2022] - [299] - Elite 
Acearia Frederico Missner,11.111.111/1111-345,Luiz Alves - SC,Vitus,(11)99999-0657,[17/05/2022] - [300] - Retrofit
Embreex,11.111.111/1111-346,Brusque - SC,Renato,(11)99999-0658,[20/05/2022] - [296] - Mach Pro ATCL
Plastifica / Kasabelle,11.111.111/1111-347,Corupa  - SC,Alaor,(11)99999-0659,[23/05/2022] - [297] - Mach Pro ATCL 5019
OZKI,11.111.111/1111-348,Caxias do Sul - RS,Solonide,(11)99999-0660,[17/05/2022] - [293] - Elite ESP 4° eixo
JMBWIND Brasil,11.111.111/1111-349,Fortaleza - CE,,(11)99999-0661,[24/05/2022] - [301] - Master 5 eixos auto plus
Imprimark,11.111.111/1111-350,Curitiba  - PR,Alan,(11)99999-0662,[27/05/2022] - [305] - Mach Pro 5019
DJFP Construções,11.111.111/1111-351,São José - SC,Sr Jair,(11)99999-0663,[31/05/2022] - [303] - Mach Pro Atcl
W Da Silva / La Kazza,11.111.111/1111-352,Barra do Garças - MT,Leandro,(11)99999-0664,[31/05/2022] - [304] - Mach Pro Turbo
Starplan ,11.111.111/1111-355,Mazagão - AP,Lucas,(11)99999-0667,[03/06/2022] - [325] - Mach Pro Turbo
Granmeyer,11.111.111/1111-356,São José  - SC,Adriana,(11)99999-0668,[02/06/2022] - [308] - Mach Pro 1S
Siw,11.111.111/1111-357,Ipojuca - PE,Eric,(11)99999-0669,[07/06/2022] - [311] - Evo especial
Plastifica / Kasabelle,11.111.111/1111-358,Corupá - SC,Alaor,(11)99999-0670,[07/06/2022] - [297] - Cones 
Konfini Móveis,11.111.111/1111-359,Poço das Antas - RS,Marciel,(11)99999-0671,[10/06/2022] - [310] - Mach Pro ATCL
Crios,11.111.111/1111-360,Curitiba - PR,,(11)99999-0672,[14/06/2022] - [312] - Master ATCL
Maxxweld,11.111.111/1111-361,São José dos Pinhais - PR,Alexandre,(11)99999-0673,[22/06/2022] - [313] - Revo 1280
Thiago Gregio,11.111.111/1111-362,Vilhena - RO,Thiago ,(11)99999-0674,[23/06/2022] - [306 / 307] - Mach Pro ATCL
,11.111.111/1111-363,São José dos Pinhais - PR,Rodrigo,(11)99999-0675,[27/06/2022] - [314 /316] - Mach Pro ATCL
H.R Capellari Mobile,11.111.111/1111-364,São José dos Pinhais - PR,Rodrigo,(11)99999-0676,[27/06/2022] - [314 /316] - Mach Pro ATCL
Starplan Móveis ,11.111.111/1111-367,Mazagão - AP,Lucas,(11)99999-0679,[08/07/2022] - [325] - Elite DUO
Barroso Móveis,11.111.111/1111-368,Picos - PI,Jucelino,(11)99999-0680,[07/07/2022] - [320] - Mach Pro Turbo
Barroso Móveis,11.111.111/1111-369,Picos - PI,Jucelino,(11)99999-0681,[07/07/2022] - [ ] - Mach Pro Turbo
Barroso Móveis,11.111.111/1111-370,Picos - PI,Jucelino,(11)99999-0682,[27/07/2022] - [ ] - aditivo de contrato
