Nome,CNPJ,Cidade,Contato,Telefone,Equipamento
Kasa,11.111.111/1111-11,São Paulo - SP,Samir,(11)99999-0072,[31/03/2025] - [1517] - Spark Dna
Kasa,11.111.111/1111-11,São Paulo - SP,Samir,(11)99999-0073,[31/03/2025] - [1517] - Spark Dna
Albero Movelaria Ltda,11.111.111/1111-11,Sorriso - MT,Vitor,(11)99999-0077,[02/04/2025] - [1528] - MACH PRO ATCL DNA
NPG,11.111.111/1111-11,Amirante tamandaré - PR,Patricia,(11)99999-0078,[02/04/2025] - [1360] - Mesa de descarga
ELF e Serviços Ltda ME,11.111.111/1111-11,São José de Ribamar - MA,Pedro,(11)99999-0079,[02/04/2025] - [1535] - SPARK DNA 2819
Marcos Fernandes,11.111.111/1111-11,Santo André  - SP,Marcos,(11)99999-0080,[02/04/2025] - [1556] - ATCL DNA - EDGE 6 E COLETOR DE PÓ
Marcos Fernandes,11.111.111/1111-11,Santo André  - SP,Marcos,(11)99999-0081,[02/04/2025] - [1556] - ATCL DNA - EDGE 6 E COLETOR DE PÓ
J B C Transportes Ltda ME,11.111.111/1111-11,Duque de Caxias  - RJ,Marcelo,(11)99999-0082,[08/04/2025] - [1554] - MACH DRILL TOP 2S
J B C Transportes Ltda ME,11.111.111/1111-11,Duque de Caxias  - RJ,Marcelo,(11)99999-0083,[08/04/2025] - [1554] - MACH DRILL TOP 2S
Marcenaria Simão,11.111.111/1111-11,Itu - SP,Pedro,(11)99999-0084,[15/04/2025] - [1566] - Turbo DUO DNA com elevador
Marcenaria Simão,11.111.111/1111-11,Itu - SP,Pedro,(11)99999-0085,[15/04/2025] - [1566] - Turbo DUO DNA com elevador
A L de Queiroz,11.111.111/1111-11,Santa Cruz do Capiberibe - PE,Silvia,(11)99999-0086,[19/02/2025] - [1532] - Turbo Duo DNA
Flamaph Serviços e Instalações de aluminio Ltda,11.111.111/1111-11,Osasco - SP,Ismael,(11)99999-0087,[11/04/2025] - [1546] - MCU Compacta 1200
Placon Contruções e Montagens Ltda ,11.111.111/1111-11,São Bernardo do Campo - SP,Adriana,(11)99999-0088,[04/04/2025] - [1542] - TURBO DNA 2819
Placon Contruções e Montagens Ltda ,11.111.111/1111-11,São Bernardo do Campo - SP,Adriana,(11)99999-0089,[04/04/2025] - [1542] - TURBO DNA 2819
Costa & Brito Participações Ltda,11.111.111/1111-11,Fortaleza - CE,Gleyson,(11)99999-0090,[16/04/2025] - [1571] - MACH DOUBLE SAW E MCU ATCL 3000
Marialur,11.111.111/1111-11,Uruguay - UY,Marialur,(11)99999-0091,[10/04/2025] - [1613] - Spark DNA
Natalia Fabiana Gomes da Silva,11.111.111/1111-11,Guarulhos  - SP,Celso,(11)99999-0092,[23/04/2025] - [1549] - Compressor parafuso de 20CV
Rizartte Indústria de Móveis Ltda ,11.111.111/1111-11,Brusque - SC,Clarice,(11)99999-0093,[25/04/2025] - [1593] - ATCL DNA
Rizartte Indústria de Móveis Ltda ,11.111.111/1111-11,Brusque - SC,Clarice,(11)99999-0094,[25/04/2025] - [1593] - ATCL DNA
Catilene Da Silva Moveis Ltda / Cappelini,11.111.111/1111-11,Penha - SC,Sandro,(11)99999-0095,[29/04/2025] - [1595] - Edge 7
Catilene Da Silva Moveis Ltda / Cappelini,11.111.111/1111-11,Penha - SC,Sandro,(11)99999-0096,[29/04/2025] - [1595] - Edge 7
